actual,predicted
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,healthy
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,fungal_infections
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,fungal_infections
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,hypersensitivity
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,hypersensitivity
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,healthy
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,ringworm
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,ringworm
demodicosis,ringworm
demodicosis,fungal_infections
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,ringworm
demodicosis,healthy
demodicosis,hypersensitivity
demodicosis,ringworm
demodicosis,fungal_infections
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,hypersensitivity
demodicosis,hypersensitivity
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,ringworm
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,demodicosis
demodicosis,fungal_infections
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,healthy
dermatitis,hypersensitivity
dermatitis,dermatitis
dermatitis,healthy
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,healthy
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,ringworm
dermatitis,healthy
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,ringworm
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,dermatitis
dermatitis,healthy
dermatitis,dermatitis
dermatitis,dermatitis
fungal_infections,hypersensitivity
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,hypersensitivity
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,dermatitis
fungal_infections,ringworm
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,demodicosis
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,fungal_infections
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,ringworm
fungal_infections,hypersensitivity
fungal_infections,healthy
fungal_infections,healthy
fungal_infections,dermatitis
fungal_infections,dermatitis
fungal_infections,ringworm
fungal_infections,demodicosis
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,ringworm
fungal_infections,ringworm
fungal_infections,fungal_infections
fungal_infections,dermatitis
fungal_infections,healthy
fungal_infections,ringworm
fungal_infections,fungal_infections
fungal_infections,ringworm
fungal_infections,ringworm
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,hypersensitivity
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,hypersensitivity
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,fungal_infections
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,healthy
healthy,healthy
healthy,healthy
healthy,healthy
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,dermatitis
healthy,hypersensitivity
healthy,dermatitis
healthy,healthy
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,ringworm
hypersensitivity,ringworm
hypersensitivity,healthy
hypersensitivity,healthy
hypersensitivity,ringworm
hypersensitivity,ringworm
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,demodicosis
hypersensitivity,fungal_infections
hypersensitivity,dermatitis
hypersensitivity,dermatitis
hypersensitivity,ringworm
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,healthy
hypersensitivity,dermatitis
hypersensitivity,healthy
hypersensitivity,ringworm
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,healthy
hypersensitivity,demodicosis
hypersensitivity,hypersensitivity
hypersensitivity,demodicosis
hypersensitivity,ringworm
hypersensitivity,fungal_infections
hypersensitivity,dermatitis
hypersensitivity,hypersensitivity
hypersensitivity,ringworm
hypersensitivity,ringworm
hypersensitivity,healthy
hypersensitivity,healthy
hypersensitivity,hypersensitivity
hypersensitivity,ringworm
hypersensitivity,ringworm
hypersensitivity,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,healthy
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,hypersensitivity
ringworm,hypersensitivity
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,hypersensitivity
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,ringworm
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,ringworm
ringworm,dermatitis
ringworm,dermatitis
ringworm,dermatitis
